Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás,SSD max írás,SSD max olvasás,TBW,Világítás,Hűtőborda,Ár (FT),Méretek,PCI-e 4.0 SSD
"KINGSTON 240GB A400 SATA 3 2.5"" SA400S37/240G","2.5""",SATA 3,TLC,240 GB,350 MB/s,500 MB/s,80 TB,Nem,Nem,11890,,
KINGSTON 500GB A2000 M.2 PCIe M.2 2280 SA2000M8/500G,M.2 2280,M.2 PCIe,TLC,500 GB,2000 MB/s,2200 MB/s,300 TB,Nem,Nem,22189,80 x 22 x 3.5 mm,
"KINGSTON 480GB A400 SATA 3 2.5"" SA400S37/480G","2.5""",SATA 3,TLC,480 GB,450 MB/s,500 MB/s,160 TB,Nem,Nem,18090,,
KINGSTON 250GB A2000 M.2 PCIe M.2 2280 SA2000M8/250G,M.2 2280,M.2 PCIe,TLC,250 GB,1100 MB/s,2000 MB/s,150 TB,Nem,Nem,14489,80 x 22 x 3.5 mm,
KINGSTON 1TB A2000 M.2 PCIe M.2 2280 SA2000M8/1000G,M.2 2280,M.2 PCIe,TLC,1000 GB,2000 MB/s,2200 MB/s,600 TB,Nem,Nem,39590,80 x 22 x 3.5 mm,
SAMSUNG 500GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S500BW (Basic garancia),M.2 2280,M.2 PCIe,MLC,500 GB,3200 MB/s,3500 MB/s,300 TB,Nem,Nem,30390,80.15 x 22.15 x 2.38 mm,
SAMSUNG 1TB 970 PRO M.2 PCIe M.2 2280 MZ-V7P1T0BW (Basic garancia),M.2 2280,M.2 PCIe,MLC,1000 GB,2700 MB/s,3500 MB/s,1200 TB,Nem,Nem,114990,80.15 x 22.15 x 2.38 mm,
INTEL 256GB Optane H10 M.2 PCIe M.2 2280 HBRPEKNX0101A01,M.2 2280,M.2 PCIe,Optane,256 GB,650 MB/s,1450 MB/s,75 TB,Nem,Nem,18790,,
TRANSCEND 32GB MSA370 mSATA TS32GMSA370,mSATA,mSATA,MLC,32 GB,40 MB/s,260 MB/s,45 TB,Nem,Nem,15890,,
"SAMSUNG 500GB 870 EVO SATA 3 2.5"" MZ-77E500B/EU","2.5""",SATA 3,TLC,500 GB,530 MB/s,560 MB/s,300 TB,Nem,Nem,24190,100 x 69.85 x 7 mm,
"CRUCIAL 240GB BX500 SATA 3 2.5"" CT240BX500SSD1","2.5""",SATA 3,TLC,240 GB,500 MB/s,540 MB/s,0 TB,Nem,Nem,12990,,
"SAMSUNG 500GB 860 EVO SATA 3 2.5"" MZ-76E500B/EU (Basic garancia)","2.5""",SATA 3,MLC,500 GB,520 MB/s,550 MB/s,300 TB,Nem,Nem,28090,100 X 69.85 X 6.8 mm,
"KINGSTON 120GB A400 SATA 3 2.5"" SA400S37/120G","2.5""",SATA 3,TLC,120 GB,320 MB/s,500 MB/s,40 TB,Nem,Nem,9590,,
SAMSUNG 500GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S500BW,M.2 2280,M.2 PCIe,TLC,500 GB,3200 MB/s,3500 MB/s,300 TB,Nem,Nem,34190,80.15 x 22.15 x 2.38 mm,
SAMSUNG 250GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S250BW,M.2 2280,M.2 PCIe,TLC,250 GB,2300 MB/s,3500 MB/s,150 TB,Nem,Nem,23090,80.15 x 22.15 x 2.38 mm,
SAMSUNG 500GB 970 EVO M.2 PCIe M.2 2280 MZ-V7E500BW (Basic garancia),M.2 2280,M.2 PCIe,MLC,500 GB,2300 MB/s,3400 MB/s,300 TB,Nem,Nem,28691,80.15 x 22.15 x 2.38 mm,
"WD 500GB Blue SATA 3 2.5"" WDS500G2B0A","2.5""",SATA 3,TLC,500 GB,530 MB/s,560 MB/s,200 TB,Nem,Nem,19489,,
"SAMSUNG 1TB 860 EVO SATA 3 2.5"" MZ-76E1T0B/EU (Basic garancia)","2.5""",SATA 3,MLC,1000 GB,520 MB/s,550 MB/s,600 TB,Nem,Nem,38790,100 x 69.85 x 6.8 mm,
