Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás (GB),SSD max írás (MB/s),SSD max olvasás (MB/s),Világítás,Hűtőborda,Ár (FT)
"KINGSTON 240GB A400 SATA 3 2.5"" SA400S37/240G","2.5""",SATA 3,TLC,240,350,500,Nem,Nem,11890
KINGSTON 500GB A2000 M.2 PCIe M.2 2280 SA2000M8/500G,M.2 2280,M.2 PCIe,TLC,500,2000,2200,Nem,Nem,22189
"KINGSTON 480GB A400 SATA 3 2.5"" SA400S37/480G","2.5""",SATA 3,TLC,480,450,500,Nem,Nem,18090
KINGSTON 250GB A2000 M.2 PCIe M.2 2280 SA2000M8/250G,M.2 2280,M.2 PCIe,TLC,250,1100,2000,Nem,Nem,14489
KINGSTON 1TB A2000 M.2 PCIe M.2 2280 SA2000M8/1000G,M.2 2280,M.2 PCIe,TLC,1000,2000,2200,Nem,Nem,39590
SAMSUNG 500GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S500BW (Basic garancia),M.2 2280,M.2 PCIe,MLC,500,3200,3500,Nem,Nem,30390
INTEL 256GB Optane H10 M.2 PCIe M.2 2280 HBRPEKNX0101A01,M.2 2280,M.2 PCIe,Optane,256,650,1450,Nem,Nem,18790
TRANSCEND 32GB MSA370 mSATA TS32GMSA370,mSATA,mSATA,MLC,32,40,260,Nem,Nem,15890
"SAMSUNG 500GB 870 EVO SATA 3 2.5"" MZ-77E500B/EU","2.5""",SATA 3,TLC,500,530,560,Nem,Nem,24190
"CRUCIAL 240GB BX500 SATA 3 2.5"" CT240BX500SSD1","2.5""",SATA 3,TLC,240,500,540,Nem,Nem,12990
"SAMSUNG 500GB 860 EVO SATA 3 2.5"" MZ-76E500B/EU (Basic garancia)","2.5""",SATA 3,MLC,500,520,550,Nem,Nem,28090
"KINGSTON 120GB A400 SATA 3 2.5"" SA400S37/120G","2.5""",SATA 3,TLC,120,320,500,Nem,Nem,9590
SAMSUNG 500GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S500BW,M.2 2280,M.2 PCIe,TLC,500,3200,3500,Nem,Nem,34190
SAMSUNG 250GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S250BW,M.2 2280,M.2 PCIe,TLC,250,2300,3500,Nem,Nem,23090
SAMSUNG 500GB 970 EVO M.2 PCIe M.2 2280 MZ-V7E500BW (Basic garancia),M.2 2280,M.2 PCIe,MLC,500,2300,3400,Nem,Nem,28691
"WD 500GB Blue SATA 3 2.5"" WDS500G2B0A","2.5""",SATA 3,TLC,500,530,560,Nem,Nem,19489
"SAMSUNG 1TB 860 EVO SATA 3 2.5"" MZ-76E1T0B/EU (Basic garancia)","2.5""",SATA 3,MLC,1000,520,550,Nem,Nem,38790
SAMSUNG 1TB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S1T0BW (Basic garancia),M.2 2280,M.2 PCIe,TLC,1000,3300,3500,Nem,Nem,58490
"CRUCIAL 500GB MX500 SATA 3 2.5"" CT500MX500SSD1","2.5""",SATA 3,TLC,500,510,560,Nem,Nem,20591
"WD 250GB Blue SATA 3 2.5"" WDS250G2B0A","2.5""",SATA 3,TLC,250,500,540,Nem,Nem,14390
"CRUCIAL 480GB BX500 SATA 3 2.5"" CT480BX500SSD1","2.5""",SATA 3,TLC,480,500,540,Nem,Nem,18090
"WD 240GB Green SATA 3 2.5"" WDS240G2G0A","2.5""",SATA 3,TLC,240,465,540,Nem,Nem,13090
"GIGABYTE 120GB Internal SATA 3 2.5"" GP-GSTFS31120GNTD","2.5""",SATA 3,TLC,120,380,500,Nem,Nem,9190
"SAMSUNG 250GB 870 EVO SATA 3 2.5"" MZ-77E250B/EU","2.5""",SATA 3,TLC,250,530,560,Nem,Nem,17990
SAMSUNG 250GB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S250BW (Basic garancia),M.2 2280,M.2 PCIe,TLC,250,2300,3500,Nem,Nem,21391
"KINGSTON 960GB A400 SATA 3 2.5"" SA400S37/960G","2.5""",SATA 3,TLC,960,450,500,Nem,Nem,34489
SAMSUNG 1TB 970 EVO Plus M.2 PCIe M.2 2280 MZ-V7S1T0BW,M.2 2280,M.2 PCIe,TLC,1000,3300,3500,Nem,Nem,62090
"CRUCIAL 1TB MX500 SATA 3 2.5"" CT1000MX500SSD1","2.5""",SATA 3,TLC,1000,510,560,Nem,Nem,35890
"CRUCIAL 120GB BX500 SATA 3 2.5"" CT120BX500SSD1","2.5""",SATA 3,TLC,120,500,540,Nem,Nem,9290
"KINGSTON 256GB KC600 SATA 3 2.5"" SKC600/256G","2.5""",SATA 3,TLC,256,500,550,Nem,Nem,16789
"WD 1TB Blue SATA 3 2.5"" WDS100T2B0A","2.5""",SATA 3,TLC,1000,530,560,Nem,Nem,36690
ADATA 512GB XPG SX8200 Pro M.2 PCIe M.2 2280 ASX8200PNP-512GT-C,M.2 2280,M.2 PCIe,TLC,512,2300,3500,Nem,Nem,27890
"SAMSUNG 1TB 870 QVO SATA 3 2.5"" MZ-77Q1T0BW","2.5""",SATA 3,QLC,1000,520,550,Nem,Nem,36690
ADATA 1TB XPG SX8200 Pro M.2 PCIe M.2 2280 ASX8200PNP-1TT-C,M.2 2280,M.2 PCIe,TLC,1000,3000,3500,Nem,Nem,49290
