,name,Cikkszám,Gyártó,Garancia,Kapacitás,Csatolófelület,Olvasási sebesség,Írási sebesség,price
0,"Samsung 870 EVO 500GB SATA 2,5"" belső Solid State Drive (SSD) (MZ-77E500B/EU)",831967,SAMSUNG,5 éves,500 GB,SATA III,560 MB/sec,530 MB/sec,22 490 
1,"Kingston A400 2,5"" 240GB SATA3 SSD (SA400S37/240G)",498867,KINGSTON,3 éves,240 GB,SATA III,500 MB/sec,350 MB/sec,11 990 
2,"Samsung 870 EVO 1TB SATA 2,5"" belső Solid State Drive (SSD) (MZ-77E1T0B/EU)",831968,SAMSUNG,5 éves,1 TB,SATA III,560 MB/sec,530 MB/sec,38 990 
3,Samsung 970 EVO Plus 1TB PCIe NVMe M.2 (2280) belső Solid State Drive (SSD) (MZ-V7S1T0),634923,SAMSUNG,3 éves,1 TB,M.2 PCIe,3500 MB/sec,3200 MB/sec,54 990 
4,"Apacer AS340 Panther 2.5"" 240GB Sata3 SSD",636009,APACER,3 éves,240 GB,SATA III,550 MB/sec,520 MB/sec,10 990 
5,"Kingston A400 2,5"" 480GB SATA3 SSD (SA400S37/480G)",498869,KINGSTON,3 éves,480 GB,SATA III,500 MB/sec,450 MB/sec,18 990 
6,"Samsung 860 EVO 500GB SATA 2.5"" belső Solid State Drive (SSD) (MZ-76E500)",539536,SAMSUNG,3 éves,500 GB,"SATA III, SATA 6, SATA 1,5",550 MB/sec,520 MB/sec,23 990 
7,"Samsung T5 1TB USB 3.1 Gen 2 (10Gbps, Type-C) külső Solid State Drive (Hordozható SSD) Éjfekete (MU-PA1T0B)",521974,SAMSUNG,3 éves,1 024 GB,USB 3.1,540 MB/sec,540 MB/sec,49 990 
8,Samsung 970 EVO Plus 250GB PCIe NVMe M.2 (2280) belső Solid State Drive (SSD) (MZ-V7S250),626168,SAMSUNG,3 éves,250 GB,M.2 PCIe,3500 MB/sec,2300 MB/sec,20 490 
9,Samsung T7 Touch 500GB külső SSD,745042,SAMSUNG,3 éves,500 GB,USB 3.2,1050 MB/sec,1000 MB/sec,38 990 
10,"ADATA SSD 2.5"" SATA3 240GB SU630",633957,Adata,3 éves,240 GB,SATA III,520 MB/sec,450 MB/sec,11 990 
11,"Apacer AS340 Panther 2.5"" 120GB Sata3 SSD ",636008,APACER,3 éves,120 GB,SATA III,550 MB/sec,500 MB/sec,8 390 
12,Kingston A2000 500GB M.2 2280 NVMe SSD,664881,KINGSTON,3 éves,500 GB,M.2 PCIe,2200 MB/sec,2000 MB/sec,21 990 
13,"Apacer AS350 Panther 2.5"" 120GB Sata3 SSD",636005,APACER,3 éves,120 GB,SATA III,540 MB/sec,490 MB/sec,8 390 
14,"Samsung 980PRO 1TB MZ-V8P1T0BW 2,5 `` SSD",809368,SAMSUNG,5 éves,1 TB,M.2 PCIe,,,75 990 
15,"Silicon Power S55 120GB 2,5"" SSD (SP120GBSS3S55S25)",419877,SILICON POWER,3 éves,120 GB,SATA III,550 MB/sec,450 MB/sec,8 090 
16,Samsung 970 EVO Plus 500GB PCIe NVMe M.2 (2280) belső Solid State Drive (SSD) (MZ-V7S500),626170,SAMSUNG,3 éves,500 GB,M.2 PCIe,3500 MB/sec,3200 MB/sec,28 490 
17,"Samsung MZ-V8P250BW 250GB belső SSD, 980PRO, 2.5 inch",809369,SAMSUNG,5 éves,250 GB,M.2 PCIe,,2700 MB/sec,28 490 
18,"Samsung 870 QVO 2TB SSD (MZ-77Q2T0BW, SATA 6 Gb/s)",777533,SAMSUNG,3 éves,2 TB,SATA III,560 MB/sec,530 MB/sec,65 990 
19,Samsung 860 EVO 500GB SATA M.2 (2280) belső Solid State Drive (SSD) (MZ-N6E500),539626,SAMSUNG,3 éves,500 GB,M.2 SATA,550 MB/sec,520 MB/sec,22 990 
20,"Kingston A400 2,5"" 120GB SATA3 SSD (SA400S37/120G)",498866,KINGSTON,3 éves,120 GB,SATA III,500 MB/sec,320 MB/sec,8 990 
21,"Samsung 870 EVO 2TB SATA 2,5"" belső Solid State Drive (SSD) (MZ-77E2T0B/EU)",831969,SAMSUNG,5 éves,2 TB,SATA III,560 MB/sec,530 MB/sec,104 990 
22,"Samsung Külső SSD MU-PC500R/WW T7 external, USB 3.2, 500GB, piros",783974,SAMSUNG,3 éves,500 GB,USB 3.2,1050 MB/sec,1000 MB/sec,35 990 
23,"Samsung 870 QVO 4TB SSD (MZ-77Q4T0BW, SATA 6 Gb/s)",777536,SAMSUNG,3 éves,4 TB,SATA III,560 MB/sec,530 MB/sec,129 990 
24,"Samsung 870 QVO 8TB SSD (MZ-77Q8T0BW, SATA 6 Gb/s)",777538,SAMSUNG,3 éves,8 TB,SATA III,560 MB/sec,530 MB/sec,258 990 
25,"Western Digital Blue 500GB 3D NAND SATA3 2,5"" SSD",644008,WD,5 éves,500 GB,SATA III,560 MB/sec,530 MB/sec,21 990 
26,"Samsung MZ-V8P500BW 500GB belső SSD, 980PRO, 2.5 inch",809370,SAMSUNG,5 éves,500 GB,M.2 PCIe,,,45 990 
27,"Samsung T7 Touch 1TB külső SSD, piros (MU-PC1T0R/WW)",787518,SAMSUNG,3 éves,1 TB,USB 3.2,1050 MB/sec,1000 MB/sec,57 990 
28,"Samsung 870 EVO 4TB SATA 2,5"" belső Solid State Drive (SSD) (MZ-77E4T0B/EU)",831970,SAMSUNG,5 éves,4 TB,SATA III,560 MB/sec,530 MB/sec,214 990 
29,Samsung 860 EVO 1TB SATA M.2 (2280) belső Solid State Drive (SSD) (MZ-N6E1T0),539624,SAMSUNG,3 éves,1 000 GB,M.2 PCIe,550 MB/sec,520 MB/sec,39 990 
30,"Sandisk Extreme külső SSD, 1TB",663102,SANDISK,3 éves,1 TB,USB 3.1,550 MB/sec,,56 990 
31,"Samsung 860 PRO 512GB SATA 2.5"" belső Solid State Drive (SSD) (MZ-76P512)",539620,SAMSUNG,3 éves,512 GB,SATA III,560 MB/sec,530 MB/sec,38 990 
32,Kingston A2000 250GB M.2 2280 NVMe SSD,664880,KINGSTON,3 éves,250 GB,M.2 PCIe,2200 MB/sec,2000 MB/sec,15 790 
33,"Samsung Külső SSD 2TB - MU-PC2T0T/WW (T7 Touch external, szürke, USB 3.2, 2TB)",772254,SAMSUNG,3 éves,2 TB,USB 3.2,1050 MB/sec,1000 MB/sec,109 990 
34,Kingmax SMV32 120GB SATA SSD (KM120GSMV32),636631,KINGMAX,5 éves,120 GB,SATA III,500 MB/sec,350 MB/sec,8 790 
35,"Apacer AS340 Panther 2.5"" 480GB Sata3 SSD ",636010,APACER,3 éves,480 GB,SATA III,550 MB/sec,520 MB/sec,19 990 
36,"Samsung T7 1TB külső SSD, kék (MU-PC1T0H/WW)",787517,SAMSUNG,3 éves,1 TB,USB 3.2,1050 MB/sec,1000 MB/sec,59 990 
37,"Samsung külső SSD MU-PC500T/WW T7 external, USB 3.2, 500GB, szürke",783982,SAMSUNG,3 éves,500 GB,USB 3.2,1050 MB/sec,1000 MB/sec,36 990 
38,"Verbatim Vx500 120GB USB 3.1 külső SSD, szürke",568248,VERBATIM,2 éves,120 GB,USB 3.1,500 MB/sec,290 MB/sec,16 990 
39,"Gigabyte 2.5"" SATA3 240GB belső SSD meghajtó",846478,GIGABYTE,3 éves,240 GB,SATA III,500 MB/sec,420 MB/s,12 390 
40,Kingston A400 M.2 SATA 240GB SSD (SA400M8/240G),630059,KINGSTON,3 éves,240 GB,SATA III,500 MB/sec,450 MB/sec,12 790 
41,"Apacer AS350 Panther 2.5"" 256GB Sata3 SSD",636004,APACER,3 éves,256 GB,SATA III,560 MB/sec,540 MB/sec,13 490 
42,Samsung 970 EVO Plus 2TB PCIe NVMe M.2 (2280) belső Solid State Drive (SSD) (MZ-V7S2T0),647846,SAMSUNG,3 éves,2 TB,M.2 PCIe,3500 MB/sec,3300 MB/sec,120 990 
43,"Kingston SSD mSATA 240GB UV500, 256 AES (SUV500MS/240G)",559391,KINGSTON,5 éves,240 GB,mSATA,520 MB/sec,500 MB/sec,15 990 
